Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL5090536,6.8,-1.7,404.44
CHEMBL5091927,7.16,-2.48,376.39
CHEMBL5093541,7.05,-2.09,390.41
CHEMBL5094014,7.05,-2.13,389.43
CHEMBL5094148,6.92,-2.52,375.4
CHEMBL510182,7.53,5.64,650.7
CHEMBL513122,7.46,2.05,513.56
CHEMBL513141,5.59,3.1,545.61
CHEMBL513659,7.29,3.23,546.59
CHEMBL513820,6.665,4.13,656.49
CHEMBL513840,5.5649999999999995,3.1,545.61
CHEMBL5170504,7.99,0.03,345.34
CHEMBL5174251,4.03,5.37,711.6
CHEMBL5174661,7.99,2.64,483.12
CHEMBL5175806,6.14,-0.64,506.52
CHEMBL5179974,4.05,5.76,725.63
CHEMBL5180694,5.22,4.7,484.94
CHEMBL5184339,7.99,-1.64,612.56
CHEMBL5185236,7.99,-0.07,349.37
CHEMBL5185637,8.06,1.89,287.34
CHEMBL5194812,5.22,4.99,468.94
CHEMBL5195934,7.99,0.15,351.38
CHEMBL5196628,7.99,1.43,395.4
CHEMBL5199602,7.98,0.54,366.42
CHEMBL5203234,7.99,3.08,660.92
CHEMBL5219841,8.31,2.83,390.46
CHEMBL5286328,4.61,-0.25,229.23
CHEMBL5404116,6.06,4.61,411.52
CHEMBL549757,6.48,1.68,382.24
CHEMBL55371,5.03,2.4,343.21
CHEMBL5562650,6.96,3.78,507.44
CHEMBL560175,7.23,2.58,280.32
CHEMBL5618562,7.77,2.92,384.46
CHEMBL5619229,7.69,2.91,354.44
CHEMBL574,6.24,0.64,171.22
CHEMBL5741962,7.75,1.89,601.56
CHEMBL5747481,8.14,2.88,595.72
CHEMBL5749252,7.75,1.3,619.62
CHEMBL5752384,7.76,2.57,602.64
CHEMBL5754211,8.15,2.82,649.65
CHEMBL5756519,7.64625,2.96,527.52
CHEMBL5761110,7.7,1.7,582.68
CHEMBL5762270,7.88,3.11,550.61
CHEMBL5762490,8.398,2.64,587.06
CHEMBL5765401,7.68,2.7,552.58
CHEMBL5767515,6.75,0.03,504.54
CHEMBL5775139,8.14,2.79,634.73
CHEMBL5775979,8.1,2.95,587.63
CHEMBL5776463,7.99,2.63,581.69
CHEMBL5779012,8.89,1.45,590.58
CHEMBL5779438,7.91,3.2,630.69
CHEMBL5779702,8.1775,2.71,545.49
CHEMBL5780867,7.14,3.18,513.62
CHEMBL5797895,6.96,3.51,513.66
CHEMBL5803772,8.74,2.37,636.63
CHEMBL5808038,8.05,3.34,550.68
CHEMBL5815791,8.04,2.77,599.68
CHEMBL5817956,8.15,3.01,664.68
CHEMBL5819580,8.2,2.71,620.63
CHEMBL5820355,9.1,2.23,618.64
CHEMBL5829154,8.1,4.19,614.69
CHEMBL5841696,8.15,2.87,646.69
CHEMBL5846270,8.02,2.29,557.53
CHEMBL5848796,7.77,2.81,616.66
CHEMBL5854486,8.21,2.18,537.64
CHEMBL5856124,6.58,1.55,501.59
CHEMBL5858245,7.79,3.47,574.68
CHEMBL5858524,7.82,3.21,579.72
CHEMBL5861201,7.46,1.61,565.58
